"Date","Price","Open","High","Low","Vol.","Change %"
"18-09-2023","137.18","137.80","138.50","136.86","806.07K","-0.67%"
"15-09-2023","138.10","138.58","139.98","138.02","5.33M","1.26%"
"14-09-2023","136.38","134.50","136.74","134.18","1.57M","1.67%"
"13-09-2023","134.14","134.98","135.48","133.78","1.26M","-1.31%"
"12-09-2023","135.92","137.48","137.56","135.84","986.01K","-0.77%"
"11-09-2023","136.98","135.68","137.28","135.16","1.20M","-0.10%"
"08-09-2023","137.12","137.46","137.56","134.34","1.47M","0.48%"
"07-09-2023","136.46","136.18","138.12","135.92","1.22M","-0.58%"
"06-09-2023","137.26","137.70","138.16","136.44","1.00M","-0.51%"
"05-09-2023","137.96","137.16","138.60","136.76","909.67K","-0.13%"
"04-09-2023","138.14","138.86","140.16","137.80","678.17K","0.47%"
"01-09-2023","137.50","138.90","139.50","137.50","1.28M","-0.99%"
"31-08-2023","138.88","138.58","139.96","138.16","1.66M","0.42%"
"30-08-2023","138.30","140.00","140.50","138.24","1.26M","-1.27%"
"29-08-2023","140.08","138.46","140.26","138.00","1.24M","1.51%"
"28-08-2023","138.00","138.02","138.54","136.60","858.93K","1.17%"
"25-08-2023","136.40","135.18","138.00","135.14","1.01M","0.59%"
"24-08-2023","135.60","138.80","139.24","135.60","1.09M","-1.02%"
"23-08-2023","137.00","137.74","137.88","136.38","942.14K","0.07%"
"22-08-2023","136.90","136.00","137.22","135.64","1.10M","1.47%"
"21-08-2023","134.92","134.50","135.50","134.50","989.61K","0.39%"
"18-08-2023","134.40","134.50","135.02","133.50","1.49M","-1.05%"
"17-08-2023","135.82","137.42","137.82","135.62","1.08M","-1.67%"
"16-08-2023","138.12","137.10","138.12","136.74","848.42K","0.33%"
"15-08-2023","137.66","138.00","140.04","137.26","1.12M","-0.76%"
"14-08-2023","138.72","137.50","139.30","137.30","1.19M","0.95%"
"11-08-2023","137.42","138.74","139.00","137.24","1.65M","-1.46%"
"10-08-2023","139.46","140.20","143.16","135.72","4.13M","-4.79%"
"09-08-2023","146.48","147.40","148.66","145.98","912.15K","0.55%"
"08-08-2023","145.68","147.26","147.80","145.16","1.16M","-1.82%"
"07-08-2023","148.38","146.86","148.78","146.50","699.43K","-0.31%"
"04-08-2023","148.84","147.16","148.94","145.96","990.97K","1.76%"
"03-08-2023","146.26","146.02","148.18","145.58","1.06M","-1.06%"
"02-08-2023","147.82","147.68","148.56","146.02","1.70M","-1.75%"
"01-08-2023","150.46","155.74","155.74","150.30","1.98M","-2.92%"
"31-07-2023","154.98","153.82","156.32","152.94","1.23M","0.45%"
"28-07-2023","154.28","154.76","155.20","152.66","1.38M","-0.90%"
"27-07-2023","155.68","150.98","155.96","150.40","1.48M","3.18%"
"26-07-2023","150.88","151.50","151.96","149.20","1.05M","-0.61%"
"25-07-2023","151.80","151.08","151.80","149.92","644.68K","0.46%"
"24-07-2023","151.10","151.00","151.52","149.80","761.19K","-0.33%"
"21-07-2023","151.60","151.00","151.96","150.36","1.23M","0.13%"
"20-07-2023","151.40","148.00","151.40","146.90","1.14M","1.98%"
"19-07-2023","148.46","151.00","151.16","148.36","938.06K","-1.16%"
"18-07-2023","150.20","149.70","150.20","148.72","701.02K","0.19%"
"17-07-2023","149.92","149.74","150.48","148.46","648.20K","-0.45%"
"14-07-2023","150.60","150.50","151.14","149.96","1.11M","0.07%"
"13-07-2023","150.50","149.40","150.72","147.52","1.34M","0.83%"
"12-07-2023","149.26","147.24","149.78","146.04","1.50M","2.25%"
"11-07-2023","145.98","145.46","146.26","144.04","1.13M","1.11%"
"10-07-2023","144.38","141.90","144.38","141.46","1.04M","1.23%"
"07-07-2023","142.62","142.10","143.72","141.72","1.25M","0.28%"
"06-07-2023","142.22","144.82","145.52","142.08","1.42M","-2.48%"
"05-07-2023","145.84","146.00","147.24","145.26","1.16M","-0.79%"
"04-07-2023","147.00","149.10","149.44","146.78","853.74K","-1.20%"
"03-07-2023","148.78","152.80","152.86","148.02","1.50M","-2.46%"
"30-06-2023","152.54","151.74","153.34","149.88","2.32M","1.30%"
"29-06-2023","150.58","151.46","152.84","149.72","2.24M","-1.40%"
"28-06-2023","152.72","158.94","159.64","150.40","2.09M","-3.07%"
"27-06-2023","157.56","156.40","158.04","155.98","1.07M","1.34%"
"26-06-2023","155.48","157.40","157.70","155.32","1.31M","-0.96%"
"23-06-2023","156.98","157.00","158.06","154.10","2.45M","-2.21%"
"22-06-2023","160.52","158.00","160.52","157.48","953.43K","0.09%"
"21-06-2023","160.38","161.72","162.80","159.76","1.02M","-0.71%"
"20-06-2023","161.52","162.94","162.96","161.50","1.33M","-1.09%"
"19-06-2023","163.30","164.04","164.44","162.72","1.03M","-0.29%"
"16-06-2023","163.78","165.96","167.00","163.78","8.00M","-1.21%"
"15-06-2023","165.78","164.74","166.26","163.90","1.36M","0.88%"
"14-06-2023","164.34","163.62","165.50","163.58","1.35M","-0.07%"
"13-06-2023","164.46","161.60","164.46","161.56","1.74M","2.29%"
"12-06-2023","160.78","158.78","161.00","158.54","1.09M","1.67%"
"09-06-2023","158.14","158.76","158.80","157.66","785.89K","-0.39%"
"08-06-2023","158.76","158.50","159.36","157.64","846.63K","0.19%"
"07-06-2023","158.46","158.68","159.22","156.54","935.68K","0.06%"
"06-06-2023","158.36","157.86","158.76","157.72","615.45K","-0.10%"
"05-06-2023","158.52","159.48","159.66","157.28","804.60K","-0.48%"
"02-06-2023","159.28","158.00","159.50","155.76","1.13M","1.66%"
"01-06-2023","156.68","154.72","156.82","154.52","940.76K","2.18%"
"31-05-2023","153.34","153.90","156.20","152.26","3.13M","-2.12%"
"30-05-2023","156.66","155.94","158.78","155.16","1.05M","0.42%"
